epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,883.185,0.97955,1.62956,1.03831,1.38998,0.60325,0.65306,0.62183,0.33629,0.60325,0.65306,0.65424,0.30554,1.46837,2.66357,1.52667,1.79656,0.00101,0.00101,0.00101
52,897.852,1.04173,1.70383,1.0736,1.43615,0.7543,0.564,0.64559,0.35837,0.72712,0.54392,0.61074,0.32233,1.41531,2.58624,1.65373,1.73277,0.0009902,0.0009902,0.0009902
53,912.301,0.98057,1.70491,1.08392,1.35287,0.67291,0.55102,0.62035,0.32803,0.67678,0.55102,0.61881,0.29382,1.47427,2.54668,1.63827,1.82702,0.0009704,0.0009704,0.0009704
54,926.268,1.00091,1.63778,1.1045,1.4175,0.47066,0.46939,0.49119,0.23647,0.52252,0.5102,0.52216,0.23877,1.75418,2.67091,1.87139,2.13109,0.0009506,0.0009506,0.0009506
55,940.373,0.92971,1.63266,1.01606,1.3396,0.46985,0.61499,0.52365,0.25281,0.68889,0.49723,0.57186,0.2603,1.69079,2.54607,1.82597,2.06974,0.0009308,0.0009308,0.0009308
56,954.66,0.89003,1.66948,0.9721,1.31656,0.56694,0.77551,0.64196,0.30567,0.60514,0.75068,0.67562,0.30804,1.49628,2.45138,1.53744,1.88417,0.000911,0.000911,0.000911
57,969.508,0.90562,1.64588,1.00241,1.34588,0.73349,0.69388,0.74576,0.42015,0.71192,0.67347,0.67876,0.37519,1.4118,2.5642,1.29774,1.77715,0.0008912,0.0008912,0.0008912
58,986.296,0.85143,1.46105,0.93579,1.28698,0.79801,0.72575,0.75738,0.42671,0.75348,0.68624,0.68003,0.38944,1.43496,2.3794,1.29648,1.77632,0.0008714,0.0008714,0.0008714
59,1008.34,0.89836,1.55083,1.03686,1.33425,0.61652,0.79592,0.73716,0.43816,0.6403,0.77551,0.72208,0.419,1.45952,2.26722,1.27431,1.82711,0.0008516,0.0008516,0.0008516
60,1025.93,0.86163,1.44908,0.92009,1.28828,0.64147,0.76686,0.74089,0.4058,0.62696,0.75458,0.72914,0.38582,1.43822,2.41516,1.3223,1.84861,0.0008318,0.0008318,0.0008318
