                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.6498,                 2.5427,                 1.5801,                 1.5819,                0.47806,                0.37981,                  0.374,                0.18366,                0.40127,                0.32984,                0.29643,                0.14018,                 1.8369,                 3.0646,                 2.0955,                  1.841,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.6853,                 2.6353,                 1.6054,                 1.6092,                0.25832,                0.19882,                0.14709,                0.06071,                 0.2501,                0.15939,                0.13989,                0.05509,                 2.6224,                 5.2986,                 2.8837,                 3.8254,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.6745,                 2.5296,                 1.6071,                 1.5897,                0.28602,                0.29298,                0.23167,                0.10107,                0.24012,                0.25171,                0.20034,                0.08671,                    nan,                    nan,                    nan,                    nan,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.6562,                 2.5158,                 1.5713,                 1.5785,                0.37971,                0.41314,                0.36378,                0.17955,                0.33095,                0.37817,                0.31451,                0.14591,                 1.7668,                 2.8422,                 1.8148,                 1.8079,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.5889,                 2.4649,                 1.5416,                  1.551,                0.23598,                0.18183,                0.16618,                0.06976,                0.23488,                0.13592,                0.13563,                0.05381,                 2.5226,                 4.7782,                 3.1066,                 3.0318,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.6209,                 2.5263,                 1.5186,                 1.5421,                0.49904,                0.33081,                0.35333,                0.16908,                0.47539,                0.26833,                0.28684,                0.13883,                  1.926,                 2.9927,                 1.9472,                 1.8757,               0.009505,               0.009505,               0.009505
                     52,                 1.5843,                  2.485,                 1.4808,                 1.5283,                0.59866,                0.38803,                0.42828,                0.20701,                0.51805,                0.37688,                0.34736,                0.15564,                 1.8277,                 2.7991,                 1.7336,                 1.8175,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.5939,                 2.5264,                 1.5209,                 1.5503,                0.53024,                 0.4452,                0.42031,                0.21135,                0.47406,                 0.4243,                0.36232,                0.17079,                 1.7396,                 2.8399,                 1.6977,                 1.7754,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.5597,                 2.4742,                 1.4588,                 1.5304,                0.53935,                0.45983,                0.41795,                0.20777,                0.48172,                0.40466,                0.33865,                0.15044,                 1.7594,                  2.794,                 1.6779,                 1.7803,              0.0094753,              0.0094753,              0.0094753
                     55,                  1.613,                 2.5467,                 1.4926,                 1.5391,                0.48102,                0.39483,                0.38944,                0.19282,                0.37757,                0.39134,                0.30697,                  0.141,                 1.7855,                 2.9461,                 1.8034,                 1.8052,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.5824,                 2.4668,                 1.4736,                 1.5155,                0.53122,                0.43671,                0.40616,                0.21948,                0.44174,                0.38517,                0.33207,                0.16844,                 1.7369,                 2.8277,                 1.7231,                 1.7614,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.5508,                 2.4071,                 1.4574,                 1.4971,                0.45307,                0.44061,                0.42843,                0.22821,                0.44187,                0.37067,                0.35081,                0.16546,                 1.7439,                 2.7919,                 1.6358,                 1.7096,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.5289,                 2.4282,                  1.452,                 1.4914,                0.49203,                0.46277,                0.45453,                0.22607,                0.46494,                0.44583,                0.40109,                0.19935,                 1.7678,                 2.7118,                 1.6012,                 1.7515,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.5704,                 2.4329,                 1.4924,                 1.5201,                0.40561,                 0.3905,                0.31811,                0.14975,                0.36118,                0.34154,                0.26402,                0.12984,                 1.9383,                 3.2356,                 1.9455,                 1.9404,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.5218,                 2.4194,                 1.4791,                 1.5137,                0.57183,                0.42557,                 0.4552,                0.23021,                0.55823,                0.35836,                0.37949,                0.18716,                 1.7665,                 2.7075,                 1.6458,                 1.7691,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.5274,                 2.4174,                 1.4729,                 1.5049,                0.37281,                0.28874,                0.28181,                0.13328,                0.26675,                0.25881,                0.22443,                0.11068,                 1.9176,                 3.2758,                 2.2341,                 1.9035,               0.009406,               0.009406,               0.009406
                     62,                 1.5212,                 2.4225,                 1.4339,                 1.4769,                0.48505,                0.39393,                 0.3782,                0.19976,                0.40611,                0.32837,                0.31534,                0.15182,                 1.7449,                 2.9497,                 1.9434,                 1.7623,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.5465,                 2.3675,                 1.4556,                 1.5105,                0.59116,                0.37757,                0.43522,                0.21616,                0.54696,                0.36013,                0.36902,                0.17827,                 1.6663,                 2.7041,                  1.667,                 1.6888,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.5245,                 2.3565,                 1.4408,                 1.4748,                0.57444,                0.46462,                0.48516,                0.24921,                 0.4853,                  0.423,                0.39388,                 0.1893,                 1.6736,                  2.611,                 1.5896,                 1.6855,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.5323,                 2.3451,                 1.4383,                 1.4877,                0.41756,                0.32893,                0.33218,                 0.1518,                0.59757,                0.25796,                0.27436,                  0.119,                 2.0121,                  3.171,                 1.9674,                 1.9853,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.5709,                 2.4132,                 1.4615,                 1.5054,                0.24245,                0.14125,                0.12789,                0.05585,                0.24779,                0.12002,                0.10821,                0.04533,                 2.7047,                 4.5987,                 2.7068,                 3.4387,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.4968,                 2.3636,                 1.4104,                 1.4844,                0.61832,                0.06263,                0.09088,                0.03586,                0.82184,                0.06296,                0.08988,                  0.034,                 3.2561,                 4.2159,                 3.6622,                 3.5865,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.5219,                 2.4215,                 1.4363,                 1.4957,                0.46579,                0.37315,                0.35406,                0.16513,                0.38399,                0.33758,                 0.3071,                0.14224,                 1.8669,                 3.3554,                 2.0623,                 2.0171,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.5047,                 2.3796,                  1.416,                  1.475,                0.46579,                0.37315,                0.35406,                0.16513,                0.38399,                0.33758,                 0.3071,                0.14224,                0.00622,                 11.375,                 0.2041,                0.05662,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.4586,                 2.3169,                 1.3796,                 1.4604,                0.39291,                0.13526,                0.13839,                0.07462,                0.39199,                0.14342,                0.12228,                0.05561,                 2.3779,                 6.1793,                 3.1391,                 6.6112,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.5108,                 2.4226,                 1.4083,                 1.4864,                0.36375,                0.01598,                 0.0272,                0.01422,                 0.2412,                0.01103,                0.01957,                0.00876,                    nan,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     72,                 1.5126,                 2.3946,                 1.4319,                 1.4747,                0.41179,                0.19394,                0.17389,                0.09692,                0.40474,                0.18953,                0.16331,                0.08091,                 2.6509,                 5.1506,                 2.9449,                 4.3072,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.5055,                 2.4387,                 1.4021,                 1.4397,                0.52049,                0.43073,                0.40107,                 0.1951,                0.49548,                0.36648,                0.33711,                 0.1575,                 1.8425,                 2.7942,                 1.8501,                 1.8869,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.5674,                 2.4209,                 1.4695,                 1.5057,                0.45392,                0.38606,                0.38189,                0.19118,                0.41165,                0.34189,                0.31272,                0.14759,                    1.9,                 2.7441,                 1.7926,                  1.862,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.5062,                  2.289,                 1.4179,                 1.4592,                0.62861,                0.31485,                0.37776,                0.19816,                0.55474,                  0.256,                 0.3051,                0.15503,                 1.8128,                 2.8501,                 2.7416,                 1.8221,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.5059,                 2.4319,                 1.4275,                 1.4594,                0.42694,                0.32928,                0.32369,                0.16236,                0.36981,                0.29088,                0.27492,                0.13349,                 1.7801,                 3.0885,                 2.1861,                 1.7422,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.4949,                 2.3947,                 1.3974,                 1.4463,                0.48552,                0.53022,                0.49511,                0.25987,                0.44833,                0.46167,                0.41777,                0.20233,                 1.6756,                 2.5882,                 1.5574,                 1.6431,              0.0092476,              0.0092476,              0.0092476
